Key,Description,Standard
SAY.CallOthersFC.986.怪物女王,,換衣服？為什麼要做這麼麻煩的事......
SAY.WorkFlowchart.1005.,,午後在飲料店打工\n......\n得到店長的讚賞!
SAY.WorkFlowchart.973.,,早上在早餐店打工\n......\n得到店長的讚賞!
SAY.WorkFlowchart.1011.,,晚上在餐廳端盤子\n......\n得到店長的讚賞!
SAY.WorkFlowchart.1000.,,早上在早餐店打工\n......\n順利的完成了工作!
SAY.WorkFlowchart.1003.,,早上在早餐店打工\n......\n啊...反正是失敗了
SAY.WorkFlowchart.1007.,,午後在地區b打工\n......\n順利的完成了工作!
SAY.WorkFlowchart.1009.,,午後在地區c打工\n......\n啊...反正是失敗了
SAY.WorkFlowchart.1013.,,晚上在地區b打工\n......\n順利的完成了工作!
SAY.WorkFlowchart.1015.,,晚上在地區c打工\n......\n啊...反正是失敗了
SAY.WorkFlowchart.1055.,,工作結束回到了家裡。
SETTEXT.WorkFlowchart.1171,,{$ActionPoint}
SAY.TouchLowerbodyFlowchart.1105.怪物女王,,「這種事情…嗯…!」
SAY.TouchLowerbodyFlowchart.1106.怪物女王,,「等…等一下……!」
SAY.TouchLowerbodyFlowchart.1052.怪物女王,,「你想幹嘛？」
SAY.TouchLowerbodyFlowchart.1053.怪物女王,,「走開......」
SAY.TouchLowerbodyFlowchart.1056.怪物女王,,「靠得太近了。」
SAY.TouchLowerbodyFlowchart.1057.,,王女把你一腳踢開。
SAY.TouchLowerbodyFlowchart.1081.,,(怪物王女期待著你做些什麼。)
SAY.TouchLowerbodyFlowchart.1083.,,(怪物王女不自覺的注視著你)
SAY.TouchLowerbodyFlowchart.1085.,,「怪物王女不時的將目光投到你身上。」
SAY.TouchLowerbodyFlowchart.1087.,,(怪物王女無所事事的樣子。)
SAY.TouchLowerbodyFlowchart.1089.,,(怪物王女正躺在床上發呆。)
SAY.TouchLowerbodyFlowchart.1091.,,(怪物王女似乎很不滿的樣子。)
SAY.TouchLowerbodyFlowchart.1093.,,(怪物王女完全不想理你。)
SAY.TouchLowerbodyFlowchart.1229.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Vagina_Sense} (+{$R_Vagina})\n下體敏感：{$Emotion} (+{$R_Emotion})
SAY.TouchLowerbodyFlowchart.1234.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Vagina_Sense} (+{$R_Vagina})\n下體敏感：{$Emotion} (+{$R_Emotion})
SAY.TouchLowerbodyFlowchart.1235.,,潤滑：{$Lubricating_Sense} (+{$R_Lubricating})
SAY.TouchBreastFlowchart.977.怪物女王,,「你想幹嘛？」
SAY.TouchBreastFlowchart.978.怪物女王,,「走開......」
SAY.TouchBreastFlowchart.982.怪物女王,,「這種事情…嗯…!」
SAY.TouchBreastFlowchart.998.,,(怪物王女期待著你做些什麼。)
SAY.TouchBreastFlowchart.1000.,,(怪物王女不自覺的注視著你)
SAY.TouchBreastFlowchart.1002.,,「怪物王女不時的將目光投到你身上。」
SAY.TouchBreastFlowchart.1004.,,(怪物王女無所事事的樣子。)
SAY.TouchBreastFlowchart.1006.,,(怪物王女正躺在床上發呆。)
SAY.TouchBreastFlowchart.1008.,,(怪物王女似乎很不滿的樣子。)
SAY.TouchBreastFlowchart.1010.,,(怪物王女完全不想理你。)
SAY.TouchBreastFlowchart.1015.怪物女王,,「靠得太近了。」
SAY.TouchBreastFlowchart.1016.,,王女把你一腳踢開。
SAY.TouchBreastFlowchart.1020.怪物女王,,「等…等一下……!」
SAY.TouchBreastFlowchart.1266.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Emotion} (+{$R_Emotion})\n下體敏感：{$Breast_Sense} (+{$R_Vagina})\n
SAY.TouchBreastFlowchart.1264.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Emotion} (+{$R_Emotion})\n下體敏感：{$Breast_Sense} (+{$R_Vagina})\n
SAY.TouchBreastFlowchart.1265.,,潤滑：{$Lubricating_Sense} (+{$R_Lubricating})
SETTEXT.Sex1Flowchart.51,,{$Breast}
SETTEXT.Sex1Flowchart.53,,{$Mouth}
SETTEXT.Sex1Flowchart.55,,{$Vaginal}
SETTEXT.Sex1Flowchart.57,,{$Lubricating}
SETTEXT.Sex1Flowchart.59,,{$Dislike}
SAY.ItemFlowchart.985.,,
SETTEXT.ItemFlowchart.1096,,{$Q_Condom}
SETTEXT.ItemFlowchart.1098,,{$Q_PowerDrink}
SETTEXT.ItemFlowchart.1097,,{$Q_SleepingPills}
SETTEXT.ItemFlowchart.1086,,{$Money}
SETTEXT.ItemFlowchart.1087,,{$Money}
SETTEXT.ItemFlowchart.1101,,{$Q_Condom}
SETTEXT.ItemFlowchart.1102,,{$Q_PowerDrink}
SETTEXT.ItemFlowchart.1103,,{$Q_SleepingPills}
SAY.CleanFlowchart.392.,,房間已經一塵不染了。
SAY.CleanFlowchart.978.,,即使沒有什麼髒汙，還是將房間仔細的清掃了一遍。
SAY.CleanFlowchart.981.,,垃圾堆得整個房間都是，不好好清掃一下不行呀......
SAY.CleanFlowchart.984.,,日積月累的灰塵，不好好打掃一下可不行呢。
SAY.CleanFlowchart.987.,,受不了滿地的垃圾，該來好好打掃一下了。
SAY.CleanFlowchart.995.,,王女似乎很喜歡現在的環境。\n現在環境：{$Clean} (+{$RandomP})
SAY.CleanFlowchart.997.,,王女似乎感到相當舒適\n現在環境：{$Clean} (+{$RandomP})
SAY.CleanFlowchart.999.,,依然有許多角落的垃圾尚未清除乾淨。\n現在環境：{$Clean} (+{$RandomP})
SAY.CleanFlowchart.1001.,,(怪物王女無所事事的樣子。)
SAY.CleanFlowchart.1003.,,(怪物王女正躺在床上發呆。)
SAY.CleanFlowchart.1005.,,垃圾依然堆積如山的樣子。
SAY.CleanFlowchart.1075.,,乾淨俐落的打掃成果。
SAY.CleanFlowchart.1076.,,踏實的將房間清掃了一遍。
SAY.CleanFlowchart.1078.,,王女死也不肯讓開位子讓你進行打掃。
SETTEXT.MainFlowchart.126,,{$ActionPoint}
SETTEXT.MainFlowchart.1076,,{$Turn}日目
SETTEXT.MainFlowchart.1078,,業績 {$Violet} / {$Target_Violet}
SETTEXT.MainFlowchart.1083,, ★{$Target_Violet}
SETTEXT.MainFlowchart.1084,,★{$Violet}
SETTEXT.MainFlowchart.1085,,{$Money}
SETTEXT.MainFlowchart.1086,,{$Money}
SETTEXT.MainFlowchart.1079,,{$D_Day}日
SETTEXT.MainFlowchart.1082,,期限倒數 {$D_Day}日
SAY.MainFlowchart.900.,,現在想做點什麼？
SAY.MainFlowchart.917.,,現在是休息的時間了......
SETTEXT.MainFlowchart.996,,{$ActionPoint}
SETTEXT.MainFlowchart.997,,{$ActionPoint}
SAY.MainFlowchart.978.,,
SETTEXT.InteractiveFlowchart.1070,,{$ActionPoint}
SAY.FeedFlowchart.735.,,（除了自己的份，回家的路上替怪物女王多帶了一份便當）
SAY.FeedFlowchart.736.怪物女王,,「…嚼嚼…嚼嚼…」
SAY.FeedFlowchart.737.怪物女王,,「雖然不討厭，但如果是能更方便進食的食物就好了。」
SAY.FeedFlowchart.740.怪物女王,,「雖然這具身體需要攝取食物才能活動，但果然還是覺得好麻煩……」
SAY.FeedFlowchart.743.怪物女王,,「喂我。」
SAY.FeedFlowchart.744.,,怪物女王用理所當然的語氣這麼說。
SAY.FeedFlowchart.890.,,(怪物王女已經再也吃不下東西了。)
SAY.FeedFlowchart.892.,,(怪物王女的胃口被滿足了。)
SAY.FeedFlowchart.894.,,(怪物王女好像還意猶未盡。)
SAY.FeedFlowchart.896.,,(怪物王女的肚子發出咕嚕咕嚕的叫聲。)
SAY.FeedFlowchart.898.,,(怪物王女想要把你的手指吃下去的樣子。)
SETTEXT.HoldinghandFlowchart.3,,{$ActionPoint}
SETTEXT.HoldinghandFlowchart.4,,{$ActionPoint}
SETTEXT.HoldinghandFlowchart.973,,{$ActionPoint}
SETTEXT.HoldinghandFlowchart.974,,{$ActionPoint}
SAY.HoldinghandFlowchart.1036.,,（牽住了怪獸女王的手）
SAY.HoldinghandFlowchart.1037.怪物女王,,「？」
SAY.HoldinghandFlowchart.1041.,,纖細的手摸起來和普通的女孩子沒有區別。
SAY.HoldinghandFlowchart.1067.,,(怪物王女期待著你做些什麼。)
SAY.HoldinghandFlowchart.1069.,,(怪物王女不自覺的注視著你)
SAY.HoldinghandFlowchart.1071.,,「怪物王女不時的將目光投到你身上。」
SAY.HoldinghandFlowchart.1073.,,(怪物王女無所事事的樣子。)
SAY.HoldinghandFlowchart.1075.,,(怪物王女正躺在床上發呆。)
SAY.HoldinghandFlowchart.1077.,,(怪物王女非常不滿的樣子。)
SAY.HoldinghandFlowchart.1115.,,怪獸女王似乎在放空。
SAY.HoldinghandFlowchart.1147.怪物女王,,好感<300\n心情較好的牽手1
SAY.HoldinghandFlowchart.1152.怪物女王,,好感<300\n心情較好的牽手2
SAY.HoldinghandFlowchart.1156.怪物女王,,好感<300\n心情較好的牽手3
SAY.HoldinghandFlowchart.1197.怪物女王,,好感>300\n心情<15
SAY.HoldinghandFlowchart.1200.怪物女王,,好感>300\n心情<15
SAY.HoldinghandFlowchart.1203.怪物女王,,好感>300\n心情<15
SAY.HoldinghandFlowchart.1206.怪物女王,,好感>300\n心情較好的牽手1
SAY.HoldinghandFlowchart.1209.怪物女王,,好感>300\n心情較好的牽手3
SAY.HoldinghandFlowchart.1212.怪物女王,,好感>300\n心情較好的牽手3
SETTEXT.ApologizeFlowchart.3,,{$ActionPoint}
SAY.ApologizeFlowchart.1036.怪物女王,,「……」
SAY.ApologizeFlowchart.1129.,,怪物王女對你的道歉無動於衷。
SAY.ApologizeFlowchart.1041.怪物女王,,「你好討厭。」
SAY.ApologizeFlowchart.1075.,,(怪物王女似乎不是很高興。)
SAY.ApologizeFlowchart.1130.,,(怪物王女完全不想理你。)
SAY.ApologizeFlowchart.1100.怪物女王,,「好感較高的不想工作。」
SAY.ApologizeFlowchart.1101.怪物女王,,「不對嗎？那麼午安或者晚安？」
SAY.ApologizeFlowchart.1102.怪物女王,,「我沒關注時間，所以不清楚。」
SAY.ApologizeFlowchart.1105.怪物女王,,「……」
SAY.ApologizeFlowchart.1106.,,王女不滿的表情似乎緩和了一些。
SETTEXT.TransformFlowchart.4,,現在是正常位
SETTEXT.TransformFlowchart.6,,現在是背後位
SETTEXT.AttackFlowchart.980,,{$ActionPoint}
SETTEXT.AttackFlowchart.981,,{$ActionPoint}
SETTEXT.TouchheadFlowchart.4,,{$ActionPoint}
SETTEXT.TouchheadFlowchart.974,,{$ActionPoint}
SAY.TouchheadFlowchart.1036.,,（撫摸著怪物女王的頭）
SAY.TouchheadFlowchart.1037.怪物女王,,「…這麼做是有什麼意義嗎？」
SAY.TouchheadFlowchart.1041.,,怪物女王沒有什麼反應。
SAY.TouchheadFlowchart.1067.,,(怪物王女期待著你做些什麼。)
SAY.TouchheadFlowchart.1069.,,(怪物王女不自覺的注視著你)
SAY.TouchheadFlowchart.1071.,,「怪物王女不時的將目光投到你身上。」
SAY.TouchheadFlowchart.1073.,,(怪物王女無所事事的樣子。)
SAY.TouchheadFlowchart.1075.,,(怪物王女正躺在床上發呆。)
SAY.TouchheadFlowchart.1077.,,(怪物王女非常不滿的樣子。)
SAY.TouchheadFlowchart.1096.怪物女王,,好感較高的「請吧…按照契約你可以對這個身體做任何事情。」
SAY.TouchheadFlowchart.1102.怪物女王,,好感較高的怪物女王沒有什麼反應。
SAY.TouchheadFlowchart.1105.,,（撫摸著怪物女王的頭）
SAY.TouchheadFlowchart.1106.怪物女王,,好感較高的「…這麼做是有什麼意義嗎？」
SAY.TalkFlowchart.3.,,(怪物王女期待著你做些什麼。)
SAY.TalkFlowchart.5.,,(怪物王女不自覺的注視著你。)
SAY.TalkFlowchart.7.,,(怪物王女不時的將目光投到你身上。\n)
SAY.TalkFlowchart.9.,,(怪物王女無所事事的樣子。)
SAY.TalkFlowchart.986.,,(怪物王女正躺在床上發呆。)
SAY.TalkFlowchart.13.,,(怪物王女似乎很不滿的樣子。)
SAY.TalkFlowchart.1013.,,(怪物王女完全不想理你。)
SAY.TalkFlowchart.886.怪物女王,,「好感較高的早安……」
SAY.TalkFlowchart.887.怪物女王,,「不對嗎？那麼午安或者晚安？」
SAY.TalkFlowchart.888.怪物女王,,「我沒關注時間，所以不清楚。」
SAY.TalkFlowchart.891.怪物女王,,「好感較高的不想工作。」
SAY.TalkFlowchart.892.怪物女王,,「不對嗎？那麼午安或者晚安？」
SAY.TalkFlowchart.893.怪物女王,,「我沒關注時間，所以不清楚。」
SAY.TalkFlowchart.896.怪物女王,,「好感較高的想睡覺。」
SAY.TalkFlowchart.897.怪物女王,,「別吵我了。」
SAY.TalkFlowchart.905.怪物女王,,「想睡覺。」
SAY.TalkFlowchart.906.怪物女王,,「別吵我了。」
SAY.TalkFlowchart.909.怪物女王,,「不想工作。」
SAY.TalkFlowchart.910.怪物女王,,「可是必須達成業績。」
SAY.TalkFlowchart.911.怪物女王,,「業績…休息…業績……」
SAY.TalkFlowchart.912.怪物女王,,「…果然還是明天再努力吧。」
SAY.TalkFlowchart.925.怪物女王,,「早安……」
SAY.TalkFlowchart.926.怪物女王,,「不對嗎？那麼午安或者晚安？」
SAY.TalkFlowchart.927.怪物女王,,「我沒關注時間，所以不清楚。」
SETTEXT.TalkFlowchart.979,,{$ActionPoint}
SETTEXT.TalkFlowchart.980,,{$ActionPoint}
SETTEXT.TalkFlowchart.1006,,{$ActionPoint}
SETTEXT.TalkFlowchart.1007,,{$ActionPoint}
SAY.KissFlowchart.991.怪物女王,,!!
SAY.KissFlowchart.992.,,怪物王女在你湊近的時候把你踢開了。
SAY.KissFlowchart.996.怪物女王,,親吻了怪物女王的嘴唇。
SAY.KissFlowchart.1069.怪物女王,,「嗯……」
SAY.KissFlowchart.999.怪物女王,,「地球生物透過交換唾液表示親近。」
SAY.KissFlowchart.1000.怪物女王,,「我在動物頻道看過這樣的介紹。」
SAY.KissFlowchart.1072.,,(怪物王女期待著你做些什麼。)
SAY.KissFlowchart.1074.,,(怪物王女不自覺的注視著你。)
SAY.KissFlowchart.1076.,,(怪物王女不時的將目光投到你身上。)
SAY.KissFlowchart.1078.,,(怪物王女無所事事的樣子。)
SAY.KissFlowchart.1080.,,(怪物王女正躺在床上發呆。)
SAY.KissFlowchart.1082.,,(怪物王女非常不滿的樣子。)
SAY.KissFlowchart.1048.怪物女王,,親吻了怪物女王的嘴唇。
SAY.KissFlowchart.1070.怪物女王,,「嗯……」
SAY.KissFlowchart.1051.怪物女王,,將舌頭放進怪物女王的嘴裡攪拌著。
SAY.KissFlowchart.1052.怪物女王,,「嗯、啾……」
SAY.EventFlowchart_1.1001.,,
SAY.SexFlowchart.503.怪物女王,,「差勁……」
SAY.SexFlowchart.718.怪物女王,,怪物王女一腳把你踢開。
SAY.SexFlowchart.731.怪物女王,,「我今天不想玩……」
SAY.SexFlowchart.735.怪物女王,,怪物王女看都不看你一眼。
SAY.SexFlowchart.741.怪物女王,,「嗯……」
SAY.SexFlowchart.746.怪物女王,,怪物王女正在看著你。
SETTEXT.SexFlowchart.975,,{$Breast_Sense}
SETTEXT.SexFlowchart.976,,{$Mouth_Sense}
SETTEXT.SexFlowchart.977,,{$Vagina_Sense}
SETTEXT.SexFlowchart.988,,{$Clitoris_Sense}
SETTEXT.SexFlowchart.978,,{$Lubricating_Sense}
SETTEXT.SexFlowchart.979,,{$Dislike_Sense}
SAY.RestFlowchart.962.,,無視王女的存在，悠閒度過了一小段屬於自己的時光......
SAY.RestFlowchart.965.,,什麼事都不想做......
SAY.RestFlowchart.1157.,,......
SETTEXT.RestFlowchart.1159,,{$ActionPoint}
CHARACTER.怪物女王,,怪物女王
